ref,ref_note,engine_type,hp_min,hp_max,model_year_min,model_year_max,standard,pollutant,ef,dr
2017cmp,d-8,ci,25,49.0,0.0,1987.0,t0,nox,6.51,9.8e-05
2017cmp,d-8,ci,25,49.0,1988.0,9999.0,t0,nox,6.42,9.7e-05
2017cmp,d-8,ci,50,119.0,0.0,1987.0,t0,nox,12.09,0.00028
2017cmp,d-8,ci,50,119.0,1988.0,9999.0,t0,nox,8.14,0.00019
2017cmp,d-8,ci,120,9999.0,0.0,1969.0,t0,nox,13.02,0.0003
2017cmp,d-8,ci,120,9999.0,1970.0,1979.0,t0,nox,11.16,0.00026
2017cmp,d-8,ci,120,9999.0,1980.0,1987.0,t0,nox,10.23,0.00024
2017cmp,d-8,ci,120,9999.0,1988.0,9999.0,t0,nox,7.6,0.00018
2017cmp,d-9,ci,25,49.0,0.0,9999.0,t1,nox,5.26,9.8e-05
2017cmp,d-9,ci,25,49.0,0.0,9999.0,t2,nox,4.63,9.3e-05
2017cmp,d-9,ci,25,49.0,0.0,9999.0,t4i,nox,4.55,9.5e-05
2017cmp,d-9,ci,25,49.0,0.0,9999.0,t4f,nox,2.75,5.7e-05
2017cmp,d-9,ci,50,74.0,0.0,9999.0,t1,nox,6.54,0.00015
2017cmp,d-9,ci,50,74.0,0.0,9999.0,t2,nox,4.75,7.1e-05
2017cmp,d-9,ci,50,74.0,0.0,9999.0,t3,nox,2.74,3.6e-05
2017cmp,d-9,ci,50,74.0,0.0,9999.0,t4i,nox,2.74,3.6e-05
2017cmp,d-9,ci,50,74.0,0.0,9999.0,t4f,nox,2.74,3.6e-05
2017cmp,d-9,ci,75,99.0,0.0,9999.0,t1,nox,6.54,0.00015
2017cmp,d-9,ci,75,99.0,0.0,9999.0,t2,nox,4.75,7.1e-05
2017cmp,d-9,ci,75,99.0,0.0,9999.0,t3,nox,2.74,3.6e-05
2017cmp,d-9,ci,75,99.0,0.0,9999.0,t4po,nox,2.74,3.6e-05
2017cmp,d-9,ci,75,99.0,0.0,9999.0,t4pian,nox,2.15,2.7e-05
2017cmp,d-9,ci,75,99.0,0.0,9999.0,t4f,nox,0.26,3.5e-06
2017cmp,d-9,ci,100,174.0,0.0,9999.0,t1,nox,6.54,0.00015
2017cmp,d-9,ci,100,174.0,0.0,9999.0,t2,nox,4.15,6e-05
2017cmp,d-9,ci,100,174.0,0.0,9999.0,t3,nox,2.32,3e-05
2017cmp,d-9,ci,100,174.0,0.0,9999.0,t4po,nox,2.32,3e-05
2017cmp,d-9,ci,100,174.0,0.0,9999.0,t4pian,nox,2.15,2.7e-05
2017cmp,d-9,ci,100,174.0,0.0,9999.0,t4f,nox,0.26,4e-06
2017cmp,d-9,ci,175,299.0,0.0,9999.0,t1,nox,5.93,0.00014
2017cmp,d-9,ci,175,299.0,0.0,9999.0,t2,nox,4.15,6e-05
2017cmp,d-9,ci,175,299.0,0.0,9999.0,t3,nox,2.32,3e-05
2017cmp,d-9,ci,175,299.0,0.0,9999.0,t4po,nox,2.32,3e-05
2017cmp,d-9,ci,175,299.0,0.0,9999.0,t4pian,nox,1.29,1.7e-05
2017cmp,d-9,ci,175,299.0,0.0,9999.0,t4f,nox,0.26,3.6e-06
2017cmp,d-9,ci,300,750.0,0.0,9999.0,t1,nox,5.93,9.9e-05
2017cmp,d-9,ci,300,750.0,0.0,9999.0,t2,nox,3.79,5e-05
2017cmp,d-9,ci,300,750.0,0.0,9999.0,t3,nox,2.32,3e-05
2017cmp,d-9,ci,300,750.0,0.0,9999.0,t4po,nox,2.32,3e-05
2017cmp,d-9,ci,300,750.0,0.0,9999.0,t4pian,nox,1.29,1.7e-05
2017cmp,d-9,ci,300,750.0,0.0,9999.0,t4f,nox,0.26,3.6e-06
2017cmp,d-9,ci,751,9999.0,0.0,9999.0,t1,nox,5.93,9.9e-05
2017cmp,d-9,ci,751,9999.0,0.0,9999.0,t2,nox,3.79,5e-05
2017cmp,d-9,ci,751,9999.0,0.0,9999.0,t4i,nox,2.24,2.8e-05
2017cmp,d-9,ci,751,9999.0,0.0,9999.0,t4f,nox,2.24,2.8e-05
2017cmp,d-11a,lsi-g,25,50.0,0.0,2003.0,uc,nox,8.01,4.06e-05
2017cmp,d-11a,lsi-g,25,50.0,2001.0,2006.0,c,nox,1.33,0.000471
2017cmp,d-11a,lsi-g,25,50.0,2007.0,2009.0,c,nox,0.89,0.0001192
2017cmp,d-11a,lsi-g,25,50.0,2010.0,9999.0,c,nox,0.27,2.5e-05
